"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "GLSL", "YAML", "PostCSS", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\projects\Rapid.js\docs\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 718, 0, 0, 0, 0, 133, 851
"d:\projects\Rapid.js\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"d:\projects\Rapid.js\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\projects\Rapid.js\src\buffer.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 29, 279
"d:\projects\Rapid.js\src\color.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 34, 340
"d:\projects\Rapid.js\src\draw.ts", "TypeScript", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33, 230
"d:\projects\Rapid.js\src\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"d:\projects\Rapid.js\src\line.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35, 210
"d:\projects\Rapid.js\src\math.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 189
"d:\projects\Rapid.js\src\matrix-engine.ts", "TypeScript", 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 77, 671
"d:\projects\Rapid.js\src\particle.ts", "TypeScript", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 56, 451
"d:\projects\Rapid.js\src\region\atlasSpriteRegion.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"d:\projects\Rapid.js\src\region\graphicRegion.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 30, 185
"d:\projects\Rapid.js\src\region\region.ts", "TypeScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 172
"d:\projects\Rapid.js\src\region\spriteRegion.ts", "TypeScript", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 43, 239
"d:\projects\Rapid.js\src\render.ts", "TypeScript", 510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 298, 127, 935
"d:\projects\Rapid.js\src\shader\graphic.frag", "GLSL", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 10, 47
"d:\projects\Rapid.js\src\shader\graphic.vert", "GLSL", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 6, 32
"d:\projects\Rapid.js\src\shader\mask.frag", "GLSL", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\projects\Rapid.js\src\shader\mask.vert", "GLSL", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"d:\projects\Rapid.js\src\shader\sprite.frag", "GLSL", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 12, 50
"d:\projects\Rapid.js\src\shader\sprite.vert", "GLSL", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 13, 49
"d:\projects\Rapid.js\src\shader\sprite_atlas.frag", "GLSL", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 12, 50
"d:\projects\Rapid.js\src\texture.ts", "TypeScript", 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 130, 826
"d:\projects\Rapid.js\src\utils.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 95
"d:\projects\Rapid.js\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\projects\Rapid.js\src\webgl\glshader.ts", "TypeScript", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 50, 389
"d:\projects\Rapid.js\src\webgl\utils.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 22, 180
"d:\projects\Rapid.js\tsconfig.json", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\projects\Rapid.js\typedoc.json", "JSON with Comments", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\projects\Rapid.js\vite.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 24
"d:\projects\Rapid.js\vite.docs.config.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 44
"Total", "-", 3514, 29, 50, 2255, 185, 49, 2271, 2, 1287, 1739, 1595, 2358, 15334
